零	0
一	1
壹	1
二	2
贰	2
两	2
三	3
叁	3
仨	3
四	4
肆	4
五	5
伍	5
六	6
陆	6
七	7
柒	7
八	8
捌	8
九	9
玖	9
十	10
拾	10
一十	10
二十	20
三十	30
四十	40
五十	50
六十	60
七十	70
八十	80
九十	90
百	00
佰	00
千	000
仟	000
万	0000
亿	00000000
兆	000000000000
０	0
１	1
２	2
３	3
４	4
５	5
６	6
７	7
８	8
９	9
Ⅰ	1
Ⅱ	2
Ⅲ	3
Ⅳ	4
Ⅴ	5
Ⅵ	6
Ⅶ	7
Ⅷ	8
Ⅸ	9
Ⅹ	10
Ⅺ	11
Ⅻ	12
ⅰ	1
ⅱ	2
ⅲ	3
ⅳ	4
ⅴ	5
ⅵ	6
ⅶ	7
ⅷ	8
ⅸ	9
ⅹ	10
⒈	1
⒉	2
⒊	3
⒋	4
⒌	5
⒍	6
⒎	7
⒏	8
⒐	9
⒑	10
⒒	11
⒓	12
⒔	13
⒕	14
⒖	15
⒗	16
⒘	17
⒙	18
⒚	19
⒛	20
㈠	1
㈡	2
㈢	3
㈣	4
㈤	5
㈥	6
㈦	7
㈧	8
㈨	9
㈩	10
⑴	1
⑵	2
⑶	3
⑷	4
⑸	5
⑹	6
⑺	7
⑻	8
⑼	9
⑽	10
⑾	11
⑿	12
⒀	13
⒁	14
⒂	15
⒃	16
⒄	17
⒅	18
⒆	19
⒇	20
①	1
②	2
③	3
④	4
⑤	5
⑥	6
⑦	7
⑧	8
⑨	9
⑩	10
⑪	11
⑫	12
⑬	13
⑭	14
⑮	15
⑯	16
⑰	17
⑱	18
⑲	19
⑳	20
❶	1
❷	2
❸	3
❹	4
❺	5
❻	6
❼	7
❽	8
❾	9
❿	10
⓫	11
⓬	12
⓭	13
⓮	14
⓯	15
⓰	16
⓱	17
⓲	18
⓳	19
⓴	20
⒜	1
⒝	2
⒞	3
⒟	4
⒠	5
⒡	6
⒢	7
⒣	8
⒤	9
⒥	10
⒦	11
⒧	12
⒨	13
⒩	14
⒪	15
⒫	16
⒬	17
⒭	18
⒮	19
⒯	20
⒰	21
⒱	22
⒲	23
⒳	24
⒴	25
⒵	26
